,lat,long
0,34.7464809,-92.2895948
1,,
2,30.8788819,-96.5962378
3,35.052565,-97.9364326
4,35.1946235,-79.4679317
5,,
6,46.2062319,-90.6802594
7,17.7289564,-64.75901597858353
8,36.1672559,-115.1485163
9,42.2977994,-83.09864240939409
10,43.9659589,-122.9317459
11,33.035378,-116.86751322074122
12,42.4396039,-76.4968019
13,,
14,46.5927425,-112.036277
15,,
16,28.183222,-82.55402792188
17,36.3295905,-78.3991638
18,43.0247245,-108.380727
19,38.8949924,-77.0365581
20,,
21,29.5957696,-90.7195348
22,30.5254692,-89.6795084
23,35.01096025,-118.19028326663798
24,26.5547883,-97.4249807
25,38.545379,-121.7445835
26,34.8759067,-83.958371
27,37.7446652,-84.2877219
28,39.5604439,-120.8282177
29,48.090574,-105.640557
30,28.0205733,-97.0544341
31,37.1042039,-96.5000112
32,28.0205733,-97.0544341
33,36.1156306,-97.0585717
34,33.1216751,-117.0814849
35,33.979536949999996,-116.97060026563273
36,28.5421109,-81.3790304
37,31.2437872,-90.4531536
38,,
39,34.4942683,-89.0078418
40,43.6166163,-116.200886
41,,
42,34.6992504,-118.15675690371793
43,39.8864493,-83.448253
44,34.5361067,-117.2911565
45,34.5361067,-117.2911565
46,42.3403144,-122.9422263
47,42.3602534,-71.0582912
48,27.5236998,-99.497352
49,60.7922222,-161.7558333
50,38.011312,-122.7022085
51,37.226611,-121.9746797
52,34.2998762,-79.8761741
53,,
54,37.787351349999994,-120.81972543130206
55,35.536297,-100.9601552
56,29.9110378,-91.6634484
57,41.5034271,-74.0104179
58,33.5428006,-111.9556001
59,29.175671,-81.521629
60,,
61,36.5854078,-80.7611817
62,,
63,25.45175165,-80.40943043188099
64,25.45175165,-80.40943043188099
65,33.1092099,-116.6730763
66,30.1424077,-102.3940242
67,29.5707831,-98.2330927
68,34.1352881,-116.1026634
69,30.1668828,-96.3977442
70,25.7741728,-80.19362
71,36.8524545,-121.4016021
72,33.6511665,-117.6522231
73,38.59825,-122.80666
74,37.0065078,-121.5631723
75,39.9309945,-120.95357394728885
76,34.7494749,-77.4208221
77,43.963168,-70.282974
78,51.724015550000004,0.6803302999999975
79,37.6853413,-85.2221819
80,34.907877,-86.08517657319786
81,37.104153,-113.5841313
82,37.2577171,-120.9988154
83,33.6948279,-97.5225245
84,34.4716695,-104.2455092
85,41.8239891,-71.4128343
86,33.4201041,-94.0425556
87,39.327962,-120.1832533
88,46.041389,-100.92513
89,35.790597,-104.9816685
90,44.65030755,-82.28186817644615
91,32.1618488,-80.7512616
92,29.8826436,-97.9405828
93,36.3006495,-119.7827122
94,39.5182427,-119.9888113
95,34.037540500000006,-82.24580946983141
96,32.781597,-96.8037253
97,,
98,41.723662000000004,-70.3234990801824
99,39.049011,-95.677556
100,39.968702,-77.5872112
101,33.9836962,-101.3368743
102,6.1873507,-75.5802337
103,,
104,39.548935,-89.294533
105,-22.721137849999998,150.24127629909626
106,36.1672559,-115.1485163
107,-28.064145,153.405361
108,34.8892677,-94.600781
109,40.7516884,-92.4149074
110,40.591942,-78.79198197616628
111,33.5386858,-112.1859941
112,33.5386858,-112.1859941
113,34.1261209,-117.5236622
114,26.2043691,-98.230082
115,39.08854049999999,-120.05035277301698
116,,
117,30.6943566,-88.0430541
118,,
119,32.2228765,-110.9748477
120,38.70373,-76.3385606
121,38.5893934,-119.8345013
122,,
123,34.503968,-98.2214332
124,33.8642086,-111.4676349
