,Location,TotalFatalInjuries
11,"10 nm w lee vin, ca",2.0
2558,"canton, mo",2.0
5049,"electra, tx",2.0
693,"arlington, al",2.0
2128,"browerville, mn",2.0
4346,"delphi, in",2.0
861,"auburn, in",2.0
2034,"brighton, mi",2.0
5053,"elephant butte, nm",2.0
705,"armentières sur avre, france",2.0
2035,"brilliant, al",2.0
4195,"davidovo, russia",2.0
5119,"elkton, va",2.0
54,"37 nm nw. of re, ca",2.0
772,"ashton, il",2.0
2394,"cajon, ca",2.0
4100,"daleville, in",2.0
2370,"cadillac, mi",2.0
59,"3nm se scappoos, or",2.0
16113,"south boston, va",1.0
16102,"soto la marina, mexico",1.0
1162,"bates city, mo",1.0
17047,"taylorville, nc",1.0
7995,"inverell, australia, australia",1.0
4211,"dawson, md",1.0
8075,"isola fossara, perugia, italy",1.0
8082,"istok, russia",1.0
16107,"south beloit, il",1.0
15962,"smackover, ar",1.0
15964,"smi-28, gm",1.0
8001,"inverness, united kingdom",1.0
15944,"slaughter, la",1.0
775,"ashville, nc",1.0
9388,"leesburg, ga",1.0
15963,"smethport, pa",1.0
15968,"smith creek, mi",1.0
16105,"souris, nd",1.0
8004,"iola, wi",1.0
15960,"slocomb, al",1.0
15953,"slidell, tx",1.0
9601,"lindsay, ne",1.0
4237,"de funiak sprgs, fl",1.0
15945,"slave lake, alberta, canada",1.0
3692,"coonabarabran, australia, australia",1.0
16056,"soledad, ca",1.0
9375,"ledbetter, tx",1.0
7988,"intracoastal, la",1.0
1174,"bath, pa",1.0
17114,"terrell, tx",1.0
15926,"skokomish, wa",1.0
16141,"south lyon, mi",1.0
3705,"copan, ok",1.0
3597,"columbus, wi",1.0
9638,"lithia, fl",1.0
16142,"south malekula, vanuatu, vanuatu",1.0
9341,"le sueur, mn",1.0
1176,"bathurst island, australia",1.0
9608,"lingen, germany",1.0
1177,"bathurst island, australia, australia",1.0
9334,"le compte, la",1.0
7987,"intracoastal city, la",1.0
7985,"interlochen, mi",1.0
3592,"columbus, ne",1.0
1180,"battle  creek, mi",1.0
17116,"terry town, ga",1.0
16150,"south paris, me",1.0
17118,"terry, mt",1.0
9630,"lismore aerodrome, australia, australia",1.0
7992,"inver grove hgt, mn",1.0
16138,"south lake taho, ca",1.0
1172,"bath, ny",1.0
9610,"linköping, sweden",1.0
8086,"ithaca, mi",1.0
3699,"cooperstown, pa",1.0
15942,"slaton, tx",1.0
15941,"slatington, pa",1.0
9613,"lino lakes, mn",1.0
15937,"slate hill, va",1.0
8087,"ithaca, ne",1.0
9365,"lebanon, oh",1.0
9622,"liquino, ecuador",1.0
9364,"lebanon, ny",1.0
16126,"south fork, mo",1.0
9360,"lebanon, in",1.0
1101,"barnardsville, nc",1.0
16135,"south hill, va",1.0
9624,"lisbon, nd",1.0
736,"arvin, ca",1.0
9625,"lisbon, oh",1.0
8089,"itinga, brazil",1.0
8071,"isle, mn",1.0
769,"ashley, nd",1.0
8005,"iona, id",1.0
3666,"conrad, pa",1.0
3665,"conrad, mt",1.0
3663,"connersville, in",1.0
9433,"lenoir, nc",1.0
1141,"basel, switzerland",1.0
9432,"lennox, sd",1.0
4227,"daytona  beach, fl",1.0
3677,"conyers, ga",1.0
1143,"basile, la",1.0
9500,"lexington, ne",1.0
9502,"lexington, or",1.0
9503,"lexington, sc",1.0
9427,"lena, la",1.0
9425,"lemont, pa",1.0
3659,"connell, wa",1.0
9424,"lemont, il",1.0
7981,"intercession, fl",1.0
8037,"iroquois, sd",1.0
16082,"sommerset, la",1.0
9511,"libertad, uruguay",1.0
9438,"lenox, ia",1.0
9487,"lewiston, ny",1.0
8031,"irmo, sc",1.0
3674,"conway, ma",1.0
9460,"lester, wa",1.0
1134,"barton, al",1.0
762,"ashland, nh",1.0
16045,"soddy-daisy, tn",1.0
9471,levittown,1.0
9455,"leslie, ar",1.0
9472,"levittown, pa",1.0
4224,"dayton, va",1.0
16059,"solo (java is.), indonesia",1.0
1131,"bartlett, il",1.0
17076,"tell city, in",1.0
3669,"constantine, mi",1.0
9447,"leonardtown, md",1.0
16041,"sod, wv",1.0
16037,"social circle, ga",1.0
1127,"barstow, md",1.0
17078,"teller, ak",1.0
9482,"lewisburg, wv",1.0
1138,"basalt, co",1.0
8032,"iron mountain, mi",1.0
9514,"liberty, ky",1.0
1158,"batavia, ny",1.0
9536,"lihue, kauai, hi",1.0
9539,"lilburn, ga",1.0
15999,"snook, tx",1.0
15995,"snelling, ca",1.0
15993,"snaefellsnes, iceland",1.0
1154,"basye, va",1.0
9552,"limestone lake, canada",1.0
8066,"island of cebaco, panama",1.0
15984,"smithville, oh",1.0
16097,"sorocaba, brazil",1.0
3687,"coolidge dam, az",1.0
9457,"leslie, mi",1.0
9558,"limon, co",1.0
9559,"limpio, paraguay",1.0
9564,"lincoln, al",1.0
3624,"comstock, wi",1.0
15979,"smithfield, va",1.0
1109,"barnwell, sc",1.0
9397,"leeville, la",1.0
3622,"comstock, mi",1.0
8010,"ionia, mi",1.0
16002,"snoqualmie, wa",1.0
16083,"sommerton, az",1.0
8013,"iowa falls, ia",1.0
9515,"liberty, mo",1.0
9419,"lemmon valley, nv",1.0
9516,"liberty, ms",1.0
4229,"daytona bch shr, fl",1.0
16084,"sommerville, tn",1.0
752,"ashland city, tn",1.0
8026,"iraan, tx",1.0
17090,"ten sleep, wy",1.0
1115,"barre, ma",1.0
3651,"conestee, sc",1.0
16089,"sonnblick, austria",1.0
8058,isla verde,1.0
16009,"snow shoe, pa",1.0
766,"ashland, wi",1.0
9528,"lieser, germany",1.0
742,"ashcamp, ky",1.0
16008,"snow lake, canada",1.0
3680,"cook, wa",1.0
9405,"lehighton, pa",1.0
9507,"leyba, nm",1.0
3558,"colt, ar",1.0
7980,"inta, russia",1.0
15660,"shaftsbury, vt",1.0
9995,"lyon mountain, ny",1.0
15652,"seymour, in",1.0
1275,"becker, mn",1.0
15645,"seville, oh",1.0
1278,"beckwourth, ca",1.0
7870,"hygiene, co",1.0
7866,"hyden, ky",1.0
10009,"lytton springs, tx",1.0
714,"arnos vale, st vincent and the grenadines",1.0
7860,"huy, belgium",1.0
15635,"servia, in",1.0
15634,"seron, spain",1.0
7858,"hutchinson, mn",1.0
15633,"serignan, france",1.0
15631,"sequim bay, wa",1.0
3447,"cobra river, manaus, brazil",1.0
7857,"hutchinson, ks",1.0
15630,"sepulveda, ca",1.0
712,"arnett, ok",1.0
17214,"tiffin, oh",1.0
10026,"macedonia, ia",1.0
7849,"huron, ca",1.0
3444,"cobb, ca",1.0
10037,"mackinac island, mi",1.0
15618,"seneca, ny",1.0
15616,"seneca, il",1.0
10045,"macon, mo",1.0
9994,"lyon bron, france",1.0
3462,"coconut creek, fl",1.0
10048,"macungie, pa",1.0
9981,"lynch, ne",1.0
9916,"ludlow, pa",1.0
9917,"ludlow, sd",1.0
15711,"shelburne, vt",1.0
722,"arteaga, mexico",1.0
9919,"ludville, ga",1.0
9924,"lugoff, sc",1.0
17187,"thornton, co",1.0
9925,"lujan, argentina",1.0
9933,"lumberport, wv",1.0
9934,"lumberton, ms",1.0
9935,"lumberton, nc",1.0
9937,"lummi island, wa",1.0
7886,"idaho springs, co",1.0
9938,"luna, nm",1.0
9941,"lunenburg, ma",1.0
17189,"thornton, ms",1.0
17191,"thornton, tx",1.0
15682,"sharon, ma",1.0
9961,"luxemburg, mn",1.0
7880,"ida grove, ia",1.0
7877,"ice cap, greenland",1.0
9969,"lyburn, wv",1.0
17195,"three lakes, wi",1.0
17196,"three oaks, mi",1.0
7872,"hytop, al",1.0
9970,"lydia, la",1.0
15665,"shallotte, nc",1.0
10046,"macon, ms",1.0
3441,"coatsville, pa",1.0
17120,"teslin, canada",1.0
15576,"seeley lake, mt",1.0
700,"arlington, tn",1.0
7820,"hunter, ar",1.0
7818,"hunt, tx",1.0
7817,"hunlock creek, pa",1.0
7816,"hungry horse, mt",1.0
7810,"humphrey, id",1.0
10101,"mahew, ms",1.0
10107,"maiden, nc",1.0
10110,"maine, ny",1.0
7809,"humphrey, ar",1.0
3415,"clutier, ia",1.0
7804,"humboldt, ia",1.0
10113,"maitland, australia, australia",1.0
10114,"maizal, dominican republic",1.0
15561,"seboyeta, nm",1.0
10116,"majuro, po",1.0
1319,"belfast, me",1.0
7801,"humberside, united kingdom",1.0
3414,"cluster springs, va",1.0
7800,"humacao, pr",1.0
3405,"cloudcroft, nm",1.0
3403,"cloquet, mn",1.0
15546,"searchlight, nv",1.0
7798,huma cao,1.0
1327,"belington, wv",1.0
7795,"hulen, ok",1.0
15536,"seabeck, wa",1.0
10097,"magnolia, nc",1.0
17231,"timber creek, australia, australia",1.0
15610,"senath, mo",1.0
4288,"deer park, wa",1.0
1292,"bedias, tx",1.0
1293,"bedminster, nj",1.0
17215,"tifton, ga",1.0
10056,"madera, ca",1.0
15604,"seminole, ok",1.0
711,"arnaudville, la",1.0
3436,"coalville, ut",1.0
17222,"tilghman island, md",1.0
10062,"madison heights, va",1.0
7839,"huntley, il",1.0
15600,"selous, tanzania",1.0
10068,"madison, mn",1.0
15595,"selma, al",1.0
706,"armistead, ca",1.0
1301,"beedeville, ar",1.0
10075,"madison, wi",1.0
1302,"beef island, vi",1.0
10077,"madisonville, ky",1.0
3425,"coal lake, ak",1.0
1303,"beekman, ny",1.0
15585,"selby beach, md",1.0
7833,"huntington, in",1.0
10086,"magan, ky",1.0
7832,"huntington mill, pa",1.0
3419,"clyo, ga",1.0
15580,"seibert lake, canada",1.0
1308,"beijing, p.r. china, china",1.0
9915,"ludlow, ca",1.0
17184,"thorne bay, ak",1.0
9913,"ludell, ks",1.0
9710,"locke, ny",1.0
17133,"texhoma, tx",1.0
3556,"colquitt, ga",1.0
17138,"the colony, tx",1.0
9722,"lodgepole, mt",1.0
7952,"indianola, ms",1.0
7944,"indian shores, fl",1.0
17147,"theodore river, ak",1.0
9724,"lodi, ca",1.0
1204,"bay city, wi",1.0
17148,"theodore, al",1.0
17149,"theodosia, mo",1.0
9726,"lofssjon, sweden",1.0
15853,"siletz, or",1.0
1210,"bay st. louis, ms",1.0
9740,"loma alta, tx",1.0
15844,"sierraville, ca",1.0
7934,"indian hill, oh",1.0
7933,"indian head, md",1.0
3547,"colorado city, co",1.0
15835,"sidney, mt",1.0
17155,"thibodaux, la",1.0
15834,"sidnaw, mi",1.0
9756,"london, oh",1.0
15831,"sibu, malaysia, malaysia",1.0
3544,"colonie, ny",1.0
7931,"index, wa",1.0
7928,"independence, or",1.0
9326,"laytonsville, md",1.0
3562,"columbia falls, mt",1.0
15712,"shelby gap, ky",1.0
9703,"lloyd, ny",1.0
7976,"inshas, egypt",1.0
9653,"little rock afb, ar",1.0
15908,"sisseton, sd",1.0
1184,"battle ground, wa",1.0
1189,"battleground, wa",1.0
7975,"inola, ok",1.0
9665,"littlerock, ca",1.0
734,"arvada, wy",1.0
1190,"battlement mesa, co",1.0
7970,"inks lake, tx",1.0
3582,"columbia, tn",1.0
9669,"littleton, nc",1.0
1192,"bauru, brazil",1.0
3577,"columbia, ms",1.0
15892,"sinaloa, mexico",1.0
9680,"liverpool, tx",1.0
7969,"inkom, id",1.0
9684,"livingston, ca",1.0
7963,"ingalls, ks",1.0
15884,"simla, co",1.0
9688,"livingston, ny",1.0
17132,"texas city, tx",1.0
9690,"livingston, tx",1.0
9691,"livingstone, mt",1.0
15882,"simi, ca",1.0
15881,"simi valley, ca",1.0
3567,"columbia statn, oh",1.0
9766,"lone rock, wi",1.0
7926,"independence, ny",1.0
17160,"thirkleby, united kingdom",1.0
3539,"coloma, wi",1.0
9868,"louisville, ms",1.0
15739,"shelton, ct",1.0
9870,"louisville, oh",1.0
9873,"lovell, me",1.0
9876,"lovely, pa",1.0
15734,"shelley, id",1.0
9885,"lowell, mi",1.0
1246,"bear valley, ca",1.0
9888,"lower brule, sd",1.0
9890,"lower lake, ca",1.0
3488,"cold lake, canada",1.0
9894,"lowmoor, va",1.0
15721,"shelbyville, il",1.0
4272,"decker, in",1.0
15720,"shelby, oh",1.0
15719,"shelby, nc",1.0
9899,"loxley, al",1.0
7896,"ilheus, brazil",1.0
15717,"shelby, ms",1.0
3484,"colchani, bolivia",1.0
9903,"lucas, ks",1.0
15716,"shelby, mi",1.0
723,"artesia, nm",1.0
3482,"colburn, id",1.0
3481,"colbert, ok",1.0
9909,"lucerne, co",1.0
15713,"shelby township, mi",1.0
7900,"illes balears, spain",1.0
15745,"shenandoah, pa",1.0
7903,"ilwaco, wa",1.0
15777,"sherwood, ar",1.0
9777,"long island cty, ny",1.0
15806,"shirleysburg, pa",1.0
7921,"incline vlg, nv",1.0
15800,"shippenville, pa",1.0
9798,"lonsdale, mn",1.0
17164,"thomas, wv",1.0
15791,"ship shoal 130e, gm",1.0
15790,"shiona, ecuador",1.0
17166,"thomaston, ga",1.0
7915,"ina, il",1.0
3528,"collinsville, ca",1.0
3527,"collinsville, al",1.0
15776,"sherrills ford, nc",1.0
3502,"coleville, ca",1.0
15775,"sherrill, ia",1.0
7913,"imperial, ne",1.0
727,"arthur, ne",1.0
3513,"college place, wa",1.0
3510,"collagna, italy",1.0
15759,"sherburn, mn",1.0
15758,"sherbrooke, canada",1.0
3508,"colfax, wi",1.0
15757,"shepparton, australia, australia",1.0
15753,"shepherd, mt",1.0
1236,"beans purchase, nh",1.0
17173,"thompson falls, mt",1.0
9327,"laytonville, ca",1.0
4073,"cuttyhunk, ma",1.0
16157,"south port, fl",1.0
8756,"koehn dry lake, ca",1.0
8279,"johnson, ar",1.0
8703,"kirbyville, tx",1.0
8278,"johnson valley, ca",1.0
8704,"kirchham, austria, austria",1.0
16909,"sylvania, ga",1.0
16913,"syracuse, in",1.0
8272,"johnson city, tx",1.0
3936,"crivitz, wi",1.0
16598,"stilwell, ok",1.0
16914,"syracuse, ks",1.0
8269,"johnson city, ks",1.0
8720,"kittanning, pa",1.0
16587,"stewartstown, pa",1.0
8726,"klamath falls, or",1.0
16916,"syracuse, ut",1.0
8728,"klammath falls, or",1.0
945,"azores, portugal",1.0
16919,"söderhamn, sweden",1.0
947,"azusa, ca",1.0
948,"b.s. 53, la",1.0
4130,"danbury,, ct",1.0
16575,"steubenville, oh",1.0
950,"babb, mt",1.0
8742,"knobel, ar",1.0
3928,"creve coeur, mo",1.0
16569,"sterling, ks",1.0
16567,"sterling, ct",1.0
8280,"johnson, ne",1.0
8699,"kiowa, ks",1.0
3940,"cromwell, mn",1.0
8296,"jonesboro, ar",1.0
8641,"kilmovee, ireland",1.0
8644,"kim, co",1.0
16641,"storm lake, ia",1.0
8648,"kimberling, mo",1.0
8300,"jonesborough, tn",1.0
8650,"kimble, tn",1.0
16637,"stony rapids, canada",1.0
3960,"crossroads, nm",1.0
16631,"stoney river, ak",1.0
3958,"cross, sc",1.0
8297,"jonesboro, ga",1.0
8664,"kingman, ks",1.0
8668,"kings point, ny",1.0
3941,"crooked creek, ak",1.0
4118,"damascus, md",1.0
3953,"cross lake, mn",1.0
16622,"stone lake, wi",1.0
8677,"kingston, nv",1.0
16619,"stockwell, in",1.0
16900,"sydney, ny",1.0
8682,"kingston, wa",1.0
8686,"kingswood twsp, nj",1.0
8687,"kingwood, wv",1.0
938,"axton, va",1.0
16908,"sylvan springs, al",1.0
8691,"kinner, la",1.0
8749,"knox, in",1.0
8757,"kojonup, australia, australia",1.0
1096,"barker, ny",1.0
8759,"kokomo, in",1.0
8226,"jena, la",1.0
8812,"kuna, id",1.0
16523,"state road, nc",1.0
8815,"kure beach, nc",1.0
16522,"state college, pa",1.0
8223,"jellico, tn",1.0
16520,"starrucca, pa",1.0
3909,"cresent lake, or",1.0
8823,"kutztown, pa",1.0
16515,"starke, fl",1.0
980,"bahia de los an, mexico",1.0
8222,"jekyll island, ga",1.0
16505,"staples, mn",1.0
8838,"la barre, la",1.0
8840,"la belle, mo",1.0
8841,"la blanca, guatemala",1.0
8842,"la campa, honduras",1.0
8843,"la canada, ca",1.0
3901,"crescent city, ca",1.0
16502,"stanton, tx",1.0
983,"baie-comeau, canada",1.0
16955,"talbotton, ga",1.0
8851,"la crete, canada",1.0
8853,"la crosse, ks",1.0
16495,"stanley, nm",1.0
813,"atigun pass, ak",1.0
8858,"la feria, tx",1.0
8810,"kumealon inlet, canada",1.0
8808,"kulusuk, greenland",1.0
8807,"kulm, nd",1.0
8787,"kraemer, la",1.0
8259,"jobstown, nj",1.0
8764,"kona, hi",1.0
8765,"konawa, ok",1.0
8768,"konigstein, germany",1.0
8770,"kooskia, id",1.0
8258,"joaquin, tx",1.0
8776,"kosrae, gu",1.0
16926,"tacna, az",1.0
831,"atlantic ocean, ao",1.0
825,"atlanta, ks",1.0
8784,"koyuk, ak",1.0
8786,"koyukuk, ak",1.0
8788,"kralendijk, bonaire, netherlands antilles",1.0
977,"bahama, nc",1.0
16539,"steamboat sprg., co",1.0
16538,"steamboat spngs, co",1.0
968,"badger, sd",1.0
8234,"jensen, ut",1.0
8794,"krems, austria",1.0
3914,"crestline, ks",1.0
16948,"tajique, nm",1.0
8798,"krum, tx",1.0
3913,"crestline, ca",1.0
16950,"takotna, ak",1.0
16531,"staunton, va",1.0
8802,"kufstein, austria",1.0
8302,"jonestown, pa",1.0
16892,"swikshak bay, ak",1.0
16647,"stoughton, wi",1.0
8638,"killingworth, ct",1.0
16787,"sumpter, or",1.0
879,"augusta, ks",1.0
16784,"sumner, ia",1.0
4087,"dade collier, fl",1.0
16846,"surry, va",1.0
4040,"cummings, ga",1.0
16778,"summerville, wv",1.0
8464,"katrineholm, sweden",1.0
16771,"summersville, mo",1.0
884,"augusta, mt",1.0
8366,"kahoolawe, hi",1.0
8475,"kayenta, az",1.0
16764,"sumenep, indonesia, indonesia",1.0
8482,"kearney, ne",1.0
858,"auburn center, pa",1.0
16760,"sulzberg, germany",1.0
8485,"kearny, nj",1.0
8486,"kechi, ks",1.0
16853,"sutcliffe, nv",1.0
4026,"cultus lake, canada",1.0
857,"aubrey, tx",1.0
892,"aurora, nc",1.0
4089,"dadina lake, ak",1.0
8496,"keflavík, iceland",1.0
8499,"keller, tx",1.0
4018,"culebra, pr",1.0
8503,"kellogg, id",1.0
16788,"sumrall, ms",1.0
8372,"kailua kona, hi",1.0
16791,"sun city, az",1.0
16803,"sunburg, mn",1.0
8398,"kamas, ut",1.0
16824,"sunrise beach, mo",1.0
8393,"kalkaska, mi",1.0
8391,"kalihi, hi",1.0
16818,"sunnyside, wa",1.0
16813,"sunland park, nm",1.0
8418,"kanorado, ks",1.0
16808,"sunderland, ma",1.0
4058,"curtis, wa",1.0
16833,"superior, az",1.0
8425,"kansasville, wi",1.0
8427,"kaohslung, taiwan",1.0
16834,"superior, mt",1.0
8446,"kashira, russia",1.0
4057,"curtis, ne",1.0
8384,"kaktovik, ak",1.0
16801,"sunapee, nh",1.0
867,"auburn, oh",1.0
8376,"kaiser, mo",1.0
16797,"sun valley, id",1.0
8374,"kailua-kona, hi",1.0
16844,"surprise, az",1.0
8440,"karnack, tx",1.0
8442,"karval, co",1.0
8444,"kasaan, ak",1.0
16792,"sun city, ca",1.0
16746,"sullivan, il",1.0
8508,"kellyville, ok",1.0
895,"aurora, or",1.0
847,"attica, mi",1.0
8583,"ketchikan intl., ak",1.0
3985,"crystal city, tx",1.0
8589,"kettleman city, ca",1.0
8591,"kewanee, il",1.0
16875,"swanton, md",1.0
16877,"swanton, vt",1.0
848,"atwater, ca",1.0
8320,"julia creek, australia, australia",1.0
8316,"joshua, tx",1.0
16886,"sweetwater, il",1.0
3980,"crump, mi",1.0
8600,"keyser, wv",1.0
8605,"keystone, fl",1.0
911,"ava, mo",1.0
16888,"sweetwater, tx",1.0
919,"avinger, tx",1.0
16669,"stratford, tx",1.0
8308,"joplin, mo",1.0
3970,"crowley ranch, or",1.0
4115,"dalton, ny",1.0
16890,"swifton, ar",1.0
8628,"kilgore, tx",1.0
8629,"kill devil hill, nc",1.0
16651,"stow, ma",1.0
8304,"jonesville, la",1.0
3965,"croton on hud., ny",1.0
8574,"kerman, ca",1.0
910,"auxvasse, mo",1.0
4093,"dahlonega, ga",1.0
4000,"cubero, nm",1.0
8351,"kadoka, sd",1.0
4094,"daimontaro, ecuador",1.0
4008,"cuenca, spain",1.0
8521,"kempton, germany, germany",1.0
16733,"sugargrove, il",1.0
8524,"kenansville, fl",1.0
8525,"kenansville, nc",1.0
8343,"juquiá municipality, brazil",1.0
16730,"sugar loaf key, fl",1.0
8341,"juntura, or",1.0
8339,"junnel hill, ga",1.0
4003,"cuchilla la laja, colombia",1.0
16719,"suckling hills, ak",1.0
16874,"swansea, sc",1.0
3999,"cube cove, ak",1.0
909,"auxerre, france",1.0
8550,"kenney lake, ak",1.0
3997,"cuba, mo",1.0
16705,"sturtevant, wi",1.0
8334,"jundiai, brazil",1.0
8560,"kentallen, scot, united kingdom",1.0
16704,"sturgis, sd",1.0
16703,"sturgis, mi",1.0
16702,"sturgis, ky",1.0
8565,"kentwood, la",1.0
16698,"stugis, sd",1.0
8860,"la fora, tiquisate, guatemala",1.0
3894,"creel, mexico",1.0
16487,"stanfield, az",1.0
9110,"lake village, in",1.0
9165,"lamesa, tx",1.0
17007,"tappahanock, va",1.0
16264,"spring city, tn",1.0
9173,"lamy, nm",1.0
8141,"jacksonville, or",1.0
1065,"banja luka, bosnia and herzegovina",1.0
9177,"lancashire, united kingdom",1.0
9181,"lancaster, oh",1.0
17009,"tapurah city, brazil",1.0
16257,"sprakers, ny",1.0
9185,"lancaster, wi",1.0
3759,"corona de tucso, az",1.0
9187,"lanconia, nh",1.0
9189,"land o'lakes, fl",1.0
1067,"banks, or",1.0
9194,"landisburg, pa",1.0
1068,"bankstown, australia",1.0
9198,"lane city, tx",1.0
4181,"datil, nm",1.0
4182,"daufuskie islan, sc",1.0
3755,"cornwall, united kingdom",1.0
9205,"langdon, nd",1.0
9206,"langenthal, switzerland",1.0
9207,"langhorne, pa",1.0
9210,"langley, wa",1.0
1074,"baptistown, nj",1.0
3750,"corning, ia",1.0
4173,"darrington, wa",1.0
16272,"spring lake, nc",1.0
17004,"tapes, brazil",1.0
3785,"cotopaxi volcano, ecuador",1.0
787,"assuncao do piaui, brazil",1.0
3791,"cottens, switzerland",1.0
16297,"springfield, vt",1.0
16296,"springfield, va",1.0
9120,"lakecreek river, ak",1.0
9121,"lakecreek, or",1.0
9122,"lakehead, ca",1.0
9123,"lakehurst, nj",1.0
1051,"bandera, tx",1.0
1054,"bandung, indonesia, indonesia",1.0
1057,"bangkok, thailand",1.0
8156,"jamaica, ny",1.0
9137,"lakeside, tx",1.0
9159,"lamberton, mn",1.0
9138,"laketown, ut",1.0
3781,"corydon, in",1.0
9143,"lakeville, mi",1.0
3778,"corupa, brazil",1.0
3777,"corunna, mi",1.0
8148,"jagel, germany",1.0
3773,"cortland, al",1.0
9151,"lakewood, wi",1.0
16277,"springboro, oh",1.0
16275,"spring valley, oh",1.0
9155,"lamar, mo",1.0
9156,"lamar, ms",1.0
9218,"lansing, nc",1.0
8132,"jackson, wi",1.0
4184,"davant, la",1.0
16181,"southern pines, nc",1.0
3721,"coram, ny",1.0
9280,"lauderdale lake, fl",1.0
4196,"davidson, ok",1.0
16190,"southside, al",1.0
1093,"bargaintown, nj",1.0
778,"ashwaubenon, wi",1.0
9289,"laurel hill, fl",1.0
9291,"laurel, ia",1.0
16185,"southfield, mi",1.0
3717,"copperopolis, ca",1.0
3716,"copperhill, tn",1.0
3715,"copper harbor, ak",1.0
16180,"southbury, ct",1.0
16202,"spanish fort, al",1.0
8104,"izmir, turkey",1.0
1094,"barinas, venezuela",1.0
17030,"tavares, fl",1.0
16176,"southard, ok",1.0
4199,"davinopolis, brazil",1.0
9308,"lavonia, ga",1.0
16172,"south yarmouth, ma",1.0
16160,"south shore, sd",1.0
8098,"ivel, ky",1.0
776,"ashville, ny",1.0
17041,"taylorsville, ga",1.0
16159,"south prairie, wa",1.0
16199,"spangler, pa",1.0
9270,"latangai island, papua new guinea",1.0
3748,"corning, ar",1.0
9244,"lariat, tx",1.0
16232,"spencer, tn",1.0
9225,"lapine, or",1.0
16230,"spencer, ma",1.0
9229,"laporte, co",1.0
9232,"laporte, tx",1.0
8128,"jackson, nj",1.0
17014,"tarkio, mo",1.0
16224,"spearville, ks",1.0
3742,"cornelia, ga",1.0
17015,"tarpon springs, fl",1.0
8124,"jackson, mn",1.0
16217,"sparta, tn",1.0
8123,"jackson, mi",1.0
9267,"last chance, co",1.0
9245,"larimore, nd",1.0
3738,"corinth, ms",1.0
9249,"larsen bay, ak",1.0
4074,"cuxhaven, germany",1.0
4189,"davenport, ne",1.0
8119,"jackson, ca",1.0
3731,"cordes, az",1.0
17024,"tau, american samoa",1.0
8110,"jacksboro, tn",1.0
3729,"cordell, ok",1.0
3726,"cord, ar",1.0
9266,"lascassas, tn",1.0
9112,"lake waccamaw, nc",1.0
9109,"lake village, ar",1.0
8867,"la grange, ky",1.0
9107,"lake view, ca",1.0
806,"athens, tx",1.0
10148,"malone, fl",1.0
16970,"taltal, chile",1.0
4145,"dansville, ny",1.0
3862,"cozad, ne",1.0
16971,"tama, ia",1.0
1004,"baker, la",1.0
3860,"coyote, ca",1.0
16434,"st. michaels, md",1.0
3858,"coy, ar",1.0
3852,"covode, pa",1.0
8954,"lafayette, or",1.0
16418,"st. lucie, fl",1.0
1016,"baldwin, fn",1.0
16413,"st. joseph, mi",1.0
8190,"jay, fl",1.0
16411,"st. joseph, il",1.0
3845,"covington, la",1.0
4154,"danville, ky",1.0
802,"athens, mi",1.0
8971,"lagrange, tx",1.0
8974,"lagrangeville, ny",1.0
8978,"lagunillas, jalisco, mexico",1.0
8979,"lagunitas, ca",1.0
8187,"jatai municipality, brazil",1.0
16400,"st. james, la",1.0
1021,"balko, ok",1.0
8202,"jefferson twp, oh",1.0
8916,"la tuque, canada",1.0
996,"baja california, mexico",1.0
16965,"tallard, france",1.0
16482,"stanardsville, va",1.0
8874,"la junta, chile",1.0
8875,"la junta, co",1.0
8877,"la laya, mexico",1.0
16478,"stalowa wola, poland",1.0
3887,"crawford, ne",1.0
8218,"jeffersonville, oh",1.0
8881,"la marque, tx",1.0
16477,"stallion spring, ca",1.0
16476,"staley, nc",1.0
8217,"jeffersonville, ky",1.0
4142,"danielsville, pa",1.0
807,"athens, wv",1.0
16457,"st.croix falls, wi",1.0
990,"bainbridge, oh",1.0
16967,"tallessee, al",1.0
3881,"cranford, nj",1.0
8896,"la porte, ca",1.0
8897,"la porte, in",1.0
8900,"la primavera, mexico",1.0
8205,"jefferson, md",1.0
8204,"jefferson, ia",1.0
4143,"dannevirke, new zealand",1.0
994,"baixa grande do ribeiro, brazil",1.0
16459,"st.francisville, la",1.0
16458,"st.croix, vi",1.0
8983,"lahr, germany",1.0
1023,"ballantine, mt",1.0
16396,"st. hilaire, mn",1.0
1043,"bamberg, sc",1.0
9053,"lake jackson, tx",1.0
16342,"st maries, id",1.0
16340,"st louis, mo",1.0
16337,"st john's, canada",1.0
3807,"cottonwood, id",1.0
16988,"tanana, ak",1.0
9069,"lake minchumina, ak",1.0
16327,"st elmo, al",1.0
9074,"lake neepaulin, nj",1.0
16321,"st charles, mo",1.0
9082,"lake park, ga",1.0
16991,"tangara da serra, brazil",1.0
9085,"lake placid, ny",1.0
1037,"balmorhea, tx",1.0
16317,"st  george, ut",1.0
3799,"cottonport, la",1.0
4167,"darien, panama",1.0
9089,"lake powell, ut",1.0
9090,"lake providence, la",1.0
9093,"lake ross, new zealand, new zealand",1.0
4168,"darksville, mo",1.0
789,"astoria, il",1.0
16308,"springville, ut",1.0
9101,"lake stevens, wa",1.0
9102,"lake sumner, new zealand, new zealand",1.0
1048,"bancroft, id",1.0
16347,"st marys island, ga",1.0
4164,"darden, tn",1.0
1024,"ballarat, australia, australia",1.0
