,Location,TotalFatalInjuries,pop,Scaled_Fatalities
1577,"glacier peak, wa",5.0,29011.0,0.0001723484195649926
2637,"mena, ar",5.0,3841895.0,1.3014410857142114e-06
184,"antioch, ca",5.0,345827.0,1.4458096100073159e-05
2589,"maynardville, tn",5.0,10451.0,0.000478423117405033
1665,"greensburg, ks",5.0,482618.0,1.0360160623930314e-05
1749,"happy camp, ca",5.0,23467.0,0.00021306515532449824
2336,"lewiston, id",5.0,743386.0,6.725980849787325e-06
2004,"ithaca, ny",5.0,10252.0,0.0004877097151775263
2069,"juneau, ak",5.0,451070.0,1.1084754029308089e-05
224,"aspen, co",5.0,954435.0,5.238701430689361e-06
4664,"zolfo springs, fl",5.0,178026.0,2.808578522238325e-05
2608,"mckinney, tx",5.0,1835237.0,2.7244437639389353e-06
4303,"valparaiso, in",5.0,2745624.0,1.8210796525671395e-06
4652,"yucaipa, ca",5.0,128489.0,3.8913836982154115e-05
4233,"trinity center, ca",5.0,274123.0,1.823998715904904e-05
4551,"williamsport, pa",5.0,202764.0,2.465920972164684e-05
3533,"ramona, ca",5.0,915056.0,5.464146456610306e-06
4000,"st. charles, mo",5.0,141088.0,3.54388750283511e-05
42,"6 nm north of s, az",4.0,51195.0,7.813263013966208e-05
4198,"titusville, fl",4.0,397165.0,1.0071380912215326e-05
4246,"tucson, az",4.0,808914.0,4.9449014357521315e-06
1671,"greenville, sc",4.0,83185.0,4.808559235439082e-05
1645,"grass valley, ca",4.0,783091.0,5.107963186909312e-06
1615,"gov't camp, or",4.0,24019.0,0.0001665348265956118
1602,"goleta, ca",4.0,280875.0,1.4241210502892745e-05
1538,"garberville, ca",4.0,65834.0,6.07588783911049e-05
4286,"upper lake, ca",4.0,84833.0,4.715146228472411e-05
276,"bahamas, bahamas",4.0,14869.0,0.0002690160737104042
1882,"hollister, ca",4.0,45894.0,8.715736261820717e-05
1487,"fryeburg, me",4.0,46921.0,8.524967498561411e-05
40,"5nm sw of mcnea, az",4.0,54104.0,7.39316871211001e-05
1425,"fort bragg, ca",4.0,9266.0,0.0004316857327865314
4294,"valdosta, ga",4.0,85987.0,4.651865979741124e-05
4297,"vallejo, ca",4.0,110834.0,3.6090008481151994e-05
1355,"fairton, nj",4.0,349562.0,1.1442891389796374e-05
1350,"fairfield, nj",4.0,541565.0,7.386001680315382e-06
1862,"hilton head, sc",4.0,534967.0,7.477096718115323e-06
3495,"prineville, or",4.0,139639.0,2.8645292504243084e-05
1883,"holliston, ma",4.0,39545.0,0.00010115058793779238
2056,"jones beach, ny",4.0,40136.0,9.966115208291808e-05
3817,"seguin, tx",4.0,81313.0,4.9192626025358796e-05
3889,"silver greek, ny",4.0,16691.0,0.00023965011083817625
2277,"las vegas, nv",4.0,1981039.0,2.0191424802843356e-06
2245,"lamar, co",4.0,88057.0,4.542512236392337e-05
3980,"springdale, ar",4.0,115316.0,3.468729404419161e-05
3985,"springfield, mo",4.0,1042909.0,3.835425717871837e-06
